lockitver|DO NOT DELETE THIS LINE! 2896
itm_blue_tourney_armor|Синий турнирный доспех
itm_blue_tourney_armor_pl|Синий турнирный доспех
itm_green_tourney_armor|Зелёный турнирный доспех
itm_green_tourney_armor_pl|Зелёный турнирный доспех
itm_gold_tourney_armor|Золотой турнирный доспех
itm_gold_tourney_armor_pl|Золотой турнирный доспех
itm_red_tourney_helmet|Красный турнирный шлем
itm_red_tourney_helmet_pl|Красный турнирный шлем
itm_blue_tourney_helmet|Синий турнирный шлем
itm_blue_tourney_helmet_pl|Синий турнирный шлем
itm_green_tourney_helmet|Зелёный турнирный шлем
itm_green_tourney_helmet_pl|Зелёный турнирный шлем
itm_gold_tourney_helmet|Золотой турнирный шлем
itm_gold_tourney_helmet_pl|Золотой турнирный шлем
itm_arena_shield_red|Щит
itm_arena_shield_red_pl|Щит
itm_arena_shield_blue|Щит
itm_arena_shield_blue_pl|Щит
itm_arena_shield_green|Щит
itm_arena_shield_green_pl|Щит
itm_arena_shield_yellow|Щит
itm_arena_shield_yellow_pl|Щит
itm_arena_armor_white|Белый арена-доспех
itm_arena_armor_white_pl|Белый арена-доспех
itm_arena_armor_red|Красный арена-доспех
itm_arena_armor_red_pl|Красный арена-доспех
itm_arena_armor_blue|Синий арена-доспех
itm_arena_armor_blue_pl|Синий арена-доспех
itm_arena_armor_green|Зелёный арена-доспех
itm_arena_armor_green_pl|Зелёный арена-доспех
itm_arena_armor_yellow|Жёлтый арена-доспех
itm_arena_armor_yellow_pl|Жёлтый арена-доспех
itm_arena_tunic_white|Белая арена-туника
itm_arena_tunic_white_pl|Белая арена-туника
itm_arena_tunic_red|Красная арена-туника
itm_arena_tunic_red_pl|Красная арена-туника
itm_arena_tunic_blue|Синяя арена-туника
itm_arena_tunic_blue_pl|Синяя арена-туника
itm_arena_tunic_green|Зелёная арена-туника
itm_arena_tunic_green_pl|Зелёная арена-туника
itm_arena_tunic_yellow|Жёлтая арена-туника
itm_arena_tunic_yellow_pl|Жёлтая арена-туника
itm_arena_helmet_red|Красный арена-шлем
itm_arena_helmet_red_pl|Красный арена-шлем
itm_arena_helmet_blue|Синий арена-шлем
itm_arena_helmet_blue_pl|Синий арена-шлем
itm_arena_helmet_green|Зелёный арена-шлем
itm_arena_helmet_green_pl|Зелёный арена-шлем
itm_arena_helmet_yellow|Жёлтый арена-шлем
itm_arena_helmet_yellow_pl|Жёлтый арена-шлем
itm_steppe_helmet_white|Белый степной шлем
itm_steppe_helmet_white_pl|Белый степной шлем
itm_steppe_helmet_red|Красный степной шлем
itm_steppe_helmet_red_pl|Красный степной шлем
itm_steppe_helmet_blue|Синий степной шлем
itm_steppe_helmet_blue_pl|Синий степной шлем
itm_steppe_helmet_green|Зелёный степной шлем
itm_steppe_helmet_green_pl|Зелёный степной шлем
itm_steppe_helmet_yellow|Жёлтый степной шлем
itm_steppe_helmet_yellow_pl|Жёлтый степной шлем
itm_tourney_helm_white|Белый турнирный шлем
itm_tourney_helm_white_pl|Белый турнирный шлем
itm_tourney_helm_red|Красный турнирный шлем
itm_tourney_helm_red_pl|Красный турнирный шлем
itm_tourney_helm_blue|Синий турнирный шлем
itm_tourney_helm_blue_pl|Синий турнирный шлем
itm_tourney_helm_green|Зелёный турнирный шлем
itm_tourney_helm_green_pl|Зелёный турнирный шлем
itm_tourney_helm_yellow|Жёлтый турнирный шлем
itm_tourney_helm_yellow_pl|Жёлтый турнирный шлем
itm_arena_turban_red|Арена-тюрбан
itm_arena_turban_red_pl|Арена-тюрбан
itm_arena_turban_blue|Арена-тюрбан
itm_arena_turban_blue_pl|Арена-тюрбан
itm_arena_turban_green|Арена-тюрбан
itm_arena_turban_green_pl|Арена-тюрбан
itm_arena_turban_yellow|Арена-тюрбан
itm_arena_turban_yellow_pl|Арена-тюрбан
itm_book_tactics|De Re Militari
itm_book_tactics_pl|De Re Militari
itm_book_persuasion|Rhetorica ad Herennium
itm_book_persuasion_pl|Rhetorica ad Herennium
itm_book_leadership|Жизнь Аликсена Великого
itm_book_leadership_pl|Жизнь Аликсена Великого
itm_book_intelligence|Очерки о логике
itm_book_intelligence_pl|Очерки о логике
itm_book_trade|Трактат о ценности вещей
itm_book_trade_pl|Трактат о ценности вещей
itm_book_weapon_mastery|Об искусстве фехтования
itm_book_weapon_mastery_pl|Об искусстве фехтования
itm_book_engineering|Метод механических теорем
itm_book_engineering_pl|Метод механических теорем
itm_book_wound_treatment_reference|Книга целительства
itm_book_wound_treatment_reference_pl|Книга целительства
itm_book_training_reference|Руководство по оружию
itm_book_training_reference_pl|Руководство по оружию
itm_book_surgery_reference|Великая книга лечения ран
itm_book_surgery_reference_pl|Великая книга лечения ран
itm_spice|Специи
itm_spice_pl|Специи
itm_salt|Соль
itm_salt_pl|Соль
itm_oil|Масло
itm_oil_pl|Масло
itm_pottery|Гончарные изделия
itm_pottery_pl|Гончарные изделия
itm_raw_flax|Связки льна
itm_raw_flax_pl|Связки льна
itm_linen|Полотно
itm_linen_pl|Полотно
itm_wool|Шерсть
itm_wool_pl|Шерсть
itm_wool_cloth|Шерстяная ткань
itm_wool_cloth_pl|Шерстяная ткань
itm_raw_silk|Сырой шёлк
itm_raw_silk_pl|Сырой шёлк
itm_raw_dyes|
itm_raw_dyes_pl|
itm_velvet|Бархат
itm_velvet_pl|Бархат
itm_iron|Железо
itm_iron_pl|Железо
itm_tools|Инструменты
itm_tools_pl|Инструменты
itm_raw_leather|Шкуры
itm_raw_leather_pl|Шкуры
itm_leatherwork|Обработанная кожа
itm_leatherwork_pl|Обработанная кожа
itm_raw_date_fruit|Финики
itm_raw_date_fruit_pl|Финики
itm_furs|Меха
itm_furs_pl|Меха
itm_wine|Вино
itm_wine_pl|Вино
itm_ale|Эль
itm_ale_pl|Эль
itm_smoked_fish|Копчёная рыба
itm_smoked_fish_pl|Копчёная рыба
itm_cheese|Сыр
itm_cheese_pl|Сыр
itm_honey|Мёд
itm_honey_pl|Мёд
itm_sausages|Колбасы
itm_sausages_pl|Колбасы
itm_cabbages|Кочаны капусты
itm_cabbages_pl|Кочаны капусты
itm_dried_meat|Вяленое мясо
itm_dried_meat_pl|Вяленое мясо
itm_apples|Фрукты
itm_apples_pl|Фрукты
itm_raw_grapes|Виноград
itm_raw_grapes_pl|Виноград
itm_raw_olives|Оливки
itm_raw_olives_pl|Оливки
itm_grain|Зерно
itm_grain_pl|Зерно
itm_cattle_meat|Говядина
itm_cattle_meat_pl|Говядина
itm_bread|Хлеб
itm_bread_pl|Хлеб
itm_chicken|Жареная курица
itm_chicken_pl|Жареная курица
itm_pork|Свинина
itm_pork_pl|Свинина
itm_butter|Масло
itm_butter_pl|Масло
itm_siege_supply|Припасы
itm_siege_supply_pl|Припасы
itm_quest_wine|Вино
itm_quest_wine_pl|Вино
itm_quest_ale|Пиво
itm_quest_ale_pl|Пиво
itm_sumpter_horse|Вьючная лошадь
itm_sumpter_horse_pl|Вьючная лошадь
itm_saddle_horse|Верховая лошадь
itm_saddle_horse_pl|Верховая лошадь
itm_steppe_horse|Степная лошадь
itm_steppe_horse_pl|Степная лошадь
itm_arabian_horse_a|Пустынная лошадь
itm_arabian_horse_a_pl|Пустынная лошадь
itm_courser|Скакун
itm_courser_pl|Скакун
itm_arabian_horse_b|Сарранидская лошадь
itm_arabian_horse_b_pl|Сарранидская лошадь
itm_hunter|Охотничья лошадь
itm_hunter_pl|Охотничья лошадь
itm_charger|Боевой конь
itm_charger_pl|Боевой конь
itm_arrows|Стрелы
itm_arrows_pl|Стрелы
itm_khergit_arrows|Хергитские стрелы
itm_khergit_arrows_pl|Хергитские стрелы
itm_barbed_arrows|Стрелы с зазубринами
itm_barbed_arrows_pl|Стрелы с зазубринами
itm_bodkin_arrows|Бронебойные стрелы
itm_bodkin_arrows_pl|Бронебойные стрелы
itm_bolts|Арбалетные болты
itm_bolts_pl|Арбалетные болты
itm_steel_bolts|Стальные арбалетные болты
itm_steel_bolts_pl|Стальные арбалетные болты
itm_cartridges|Патроны
itm_cartridges_pl|Патроны
itm_pilgrim_disguise|Паломническая маскировка
itm_pilgrim_disguise_pl|Паломническая маскировка
itm_pilgrim_hood|Паломническая накидка
itm_pilgrim_hood_pl|Паломническая накидка
itm_leather_gloves|Кожаные перчатки
itm_leather_gloves_pl|Кожаные перчатки
itm_mail_mittens|Кольчужные рукавицы
itm_mail_mittens_pl|Кольчужные рукавицы
itm_scale_gauntlets|Чешуйчатые рукавицы
itm_scale_gauntlets_pl|Чешуйчатые рукавицы
itm_lamellar_gauntlets|Ламеллярные перчатки
itm_lamellar_gauntlets_pl|Ламеллярные перчатки
itm_gauntlets|Латные рукавицы
itm_gauntlets_pl|Латные рукавицы
itm_wrapping_boots|Обмотки
itm_wrapping_boots_pl|Обмотки
itm_woolen_hose|Шерстяные штаны
itm_woolen_hose_pl|Шерстяные штаны
itm_blue_hose|Синие штаны
itm_blue_hose_pl|Синие штаны
itm_hunter_boots|Охотничьи сапоги
itm_hunter_boots_pl|Охотничьи сапоги
itm_hide_boots|Меховые сапоги
itm_hide_boots_pl|Меховые сапоги
itm_ankle_boots|Полусапожки
itm_ankle_boots_pl|Полусапожки
itm_nomad_boots|Кочевнические сапоги
itm_nomad_boots_pl|Кочевнические сапоги
itm_leather_boots|Кожаные сапоги
itm_leather_boots_pl|Кожаные сапоги
itm_splinted_leather_greaves|Усиленные кожаные поножи
itm_splinted_leather_greaves_pl|Усиленные кожаные поножи
itm_mail_chausses|Кольчужные штаны
itm_mail_chausses_pl|Кольчужные штаны
itm_splinted_greaves|Усиленные поножи
itm_splinted_greaves_pl|Усиленные поножи
itm_mail_boots|Кольчужные сапоги
itm_mail_boots_pl|Кольчужные сапоги
itm_iron_greaves|Железные сапоги
itm_iron_greaves_pl|Железные сапоги
itm_black_greaves|Чёрные поножи
itm_black_greaves_pl|Чёрные поножи
itm_khergit_leather_boots|Хергитские кожаные сапоги
itm_khergit_leather_boots_pl|Хергитские кожаные сапоги
itm_sarranid_boots_a|Сарранидская обувь
itm_sarranid_boots_a_pl|Сарранидская обувь
itm_sarranid_boots_b|Сарранидские кожаные сапоги
itm_sarranid_boots_b_pl|Сарранидские кожаные сапоги
itm_sarranid_boots_c|Латные сапоги
itm_sarranid_boots_c_pl|Латные сапоги
itm_sarranid_boots_d|Кольчужные сапоги
itm_sarranid_boots_d_pl|Кольчужные сапоги
itm_sarranid_head_cloth|Женский платок
itm_sarranid_head_cloth_pl|Женский платок
itm_sarranid_head_cloth_b|Женский платок
itm_sarranid_head_cloth_b_pl|Женский платок
itm_sarranid_felt_head_cloth|Головной платок
itm_sarranid_felt_head_cloth_pl|Головной платок
itm_sarranid_felt_head_cloth_b|Головной платок
itm_sarranid_felt_head_cloth_b_pl|Головной платок
itm_lady_dress_ruby|Женское платье
itm_lady_dress_ruby_pl|Женское платье
itm_lady_dress_green|Женское платье
itm_lady_dress_green_pl|Женское платье
itm_lady_dress_blue|Женское платье
itm_lady_dress_blue_pl|Женское платье
itm_red_dress|Красное платье
itm_red_dress_pl|Красное платье
itm_brown_dress|Коричневое платье
itm_brown_dress_pl|Коричневое платье
itm_green_dress|Зелёное платье
itm_green_dress_pl|Зелёное платье
itm_khergit_lady_dress|Хергитское дамское платье
itm_khergit_lady_dress_pl|Хергитское дамское платье
itm_khergit_lady_dress_b|Хергитский дамский кожаный наряд
itm_khergit_lady_dress_b_pl|Хергитский дамский кожаный наряд
itm_sarranid_lady_dress|Сарранидский дамский наряд
itm_sarranid_lady_dress_pl|Сарранидский дамский наряд
itm_sarranid_lady_dress_b|Сарранидский дамский наряд
itm_sarranid_lady_dress_b_pl|Сарранидский дамский наряд
itm_sarranid_common_dress|Сарранидский наряд
itm_sarranid_common_dress_pl|Сарранидский наряд
itm_sarranid_common_dress_b|Сарранидский наряд
itm_sarranid_common_dress_b_pl|Сарранидский наряд
itm_courtly_outfit|Придворный наряд
itm_courtly_outfit_pl|Придворный наряд
itm_nobleman_outfit|Дворянский наряд
itm_nobleman_outfit_pl|Дворянский наряд
itm_nomad_armor|Кочевнический доспех
itm_nomad_armor_pl|Кочевнический доспех
itm_khergit_armor|Хергитский доспех
itm_khergit_armor_pl|Хергитский доспех
itm_leather_jacket|Кожаная куртка
itm_leather_jacket_pl|Кожаная куртка
itm_rawhide_coat|Плащ из сыромятной кожи
itm_rawhide_coat_pl|Плащ из сыромятной кожи
itm_leather_armor|Кожаный доспех
itm_leather_armor_pl|Кожаный доспех
itm_fur_coat|Меховой плащ
itm_fur_coat_pl|Меховой плащ
itm_coat|Плащ
itm_coat_pl|Плащ
itm_leather_coat|Кожаный плащ
itm_leather_coat_pl|Кожаный плащ
itm_mail_coat|Кольчужный плащ
itm_mail_coat_pl|Кольчужный плащ
itm_long_mail_coat|Длинный кольчужный плащ
itm_long_mail_coat_pl|Длинный кольчужный плащ
itm_sleeveless_mail_coat|Безрукавный кольчужный плащ
itm_sleeveless_mail_coat_pl|Безрукавный кольчужный плащ
itm_sleeveless_coat|Безрукавный плащ
itm_sleeveless_coat_pl|Безрукавный плащ
itm_hide_coat|Меховой плащ
itm_hide_coat_pl|Меховой плащ
itm_merchant_outfit|Купеческий наряд
itm_merchant_outfit_pl|Купеческий наряд
itm_homespun_dress|Домотканая одежда
itm_homespun_dress_pl|Домотканая одежда
itm_thick_coat|Толстый плащ
itm_thick_coat_pl|Толстый плащ
itm_coat_with_cape|Плащ с капюшоном
itm_coat_with_cape_pl|Плащ с капюшоном
itm_steppe_outfit|Степная одежда
itm_steppe_outfit_pl|Степная одежда
itm_nordic_outfit|Нордская одежда
itm_nordic_outfit_pl|Нордская одежда
itm_nordic_armor|Нордский доспех
itm_nordic_armor_pl|Нордский доспех
itm_hide_armor|Меховой доспех
itm_hide_armor_pl|Меховой доспех
itm_cloaked_tunic|Туника с плащом
itm_cloaked_tunic_pl|Туника с плащом
itm_sleeveless_tunic|Безрукавная туника
itm_sleeveless_tunic_pl|Безрукавная туника
itm_sleeveless_leather_tunic|Безрукавная кожаная туника
itm_sleeveless_leather_tunic_pl|Безрукавная кожаная туника
itm_linen_shirt|Льняная рубаха
itm_linen_shirt_pl|Льняная рубаха
itm_wool_coat|Шерстяной плащ
itm_wool_coat_pl|Шерстяной плащ
itm_dress|Одежда
itm_dress_pl|Одежда
itm_blue_dress|Синяя одежда
itm_blue_dress_pl|Синяя одежда
itm_peasant_dress|Крестьянская одежда
itm_peasant_dress_pl|Крестьянская одежда
itm_woolen_dress|Шерстяная одежда
itm_woolen_dress_pl|Шерстяная одежда
itm_shirt|Рубаха
itm_shirt_pl|Рубаха
itm_linen_tunic|Льняная туника
itm_linen_tunic_pl|Льняная туника
itm_short_tunic|Зелёная туника
itm_short_tunic_pl|Зелёная туника
itm_red_shirt|Красная рубаха
itm_red_shirt_pl|Красная рубаха
itm_red_tunic|Красная туника
itm_red_tunic_pl|Красная туника
itm_blue_tunic|Синяя туника
itm_blue_tunic_pl|Синяя туника
itm_robe|Роба
itm_robe_pl|Роба
itm_coarse_tunic|Туника с жилетом
itm_coarse_tunic_pl|Туника с жилетом
itm_leather_apron|Кожаный фартук
itm_leather_apron_pl|Кожаный фартук
itm_tabard|Табард
itm_tabard_pl|Табард
itm_leather_vest|Кожаный жилет
itm_leather_vest_pl|Кожаный жилет
itm_steppe_armor|Степной доспех
itm_steppe_armor_pl|Степной доспех
itm_gambeson|Гамбезон
itm_gambeson_pl|Гамбезон
itm_blue_gambeson|Синий гамбезон
itm_blue_gambeson_pl|Синий гамбезон
itm_red_gambeson|Красный гамбезон
itm_red_gambeson_pl|Красный гамбезон
itm_padded_cloth|Стёганый акетон
itm_padded_cloth_pl|Стёганый акетон
itm_aketon_green|Стёганый тканевый доспех
itm_aketon_green_pl|Стёганый тканевый доспех
itm_leather_jerkin|Кожаный камзол
itm_leather_jerkin_pl|Кожаный камзол
itm_nomad_vest|Кочевнический жилет
itm_nomad_vest_pl|Кочевнический жилет
itm_ragged_outfit|Рваная одежда
itm_ragged_outfit_pl|Рваная одежда
itm_padded_leather|Стёганый кожаный доспех
itm_padded_leather_pl|Стёганый кожаный доспех
itm_tribal_warrior_outfit|Одежда племенного воина
itm_tribal_warrior_outfit_pl|Одежда племенного воина
itm_nomad_robe|Кочевническая роба
itm_nomad_robe_pl|Кочевническая роба
itm_studded_leather_coat|Кожаный плащ с заклёпками
itm_studded_leather_coat_pl|Кожаный плащ с заклёпками
itm_byrnie|Бронь
itm_byrnie_pl|Бронь
itm_haubergeon|Кольчужный доспех
itm_haubergeon_pl|Кольчужный доспех
itm_lamellar_vest|Ламеллярный жилет
itm_lamellar_vest_pl|Ламеллярный жилет
itm_lamellar_vest_khergit|Хергитский ламеллярный жилет
itm_lamellar_vest_khergit_pl|Хергитский ламеллярный жилет
itm_mail_shirt|Кольчуга
itm_mail_shirt_pl|Кольчуга
itm_mail_hauberk|Кольчужная броня
itm_mail_hauberk_pl|Кольчужная броня
itm_mail_with_surcoat|Кольчуга с сюрко
itm_mail_with_surcoat_pl|Кольчуга с сюрко
itm_surcoat_over_mail|Сюрко поверх кольчуги
itm_surcoat_over_mail_pl|Сюрко поверх кольчуги
itm_brigandine_red|Бригантина
itm_brigandine_red_pl|Бригантина
itm_lamellar_armor|Ламеллярный доспех
itm_lamellar_armor_pl|Ламеллярный доспех
itm_scale_armor|Чешуйчатый доспех
itm_scale_armor_pl|Чешуйчатый доспех
itm_banded_armor|Кольчатый доспех
itm_banded_armor_pl|Кольчатый доспех
itm_cuir_bouilli|Вареная кожа
itm_cuir_bouilli_pl|Вареная кожа
itm_coat_of_plates|Пластинчатый плащ
itm_coat_of_plates_pl|Пластинчатый плащ
itm_coat_of_plates_red|Пластинчатый плащ
itm_coat_of_plates_red_pl|Пластинчатый плащ
itm_plate_armor|Латный доспех
itm_plate_armor_pl|Латный доспех
itm_black_armor|Чёрный доспех
itm_black_armor_pl|Чёрный доспех
itm_pelt_coat|Меховой плащ
itm_pelt_coat_pl|Меховой плащ
itm_khergit_elite_armor|Хергитский элитный доспех
itm_khergit_elite_armor_pl|Хергитский элитный доспех
itm_vaegir_elite_armor|Вэгирский элитный доспех
itm_vaegir_elite_armor_pl|Вэгирский элитный доспех
itm_sarranid_elite_armor|Сарранидский элитный доспех
itm_sarranid_elite_armor_pl|Сарранидский элитный доспех
itm_sarranid_dress_a|Наряд
itm_sarranid_dress_a_pl|Наряд
itm_sarranid_dress_b|Наряд
itm_sarranid_dress_b_pl|Наряд
itm_sarranid_cloth_robe|Поношенная роба
itm_sarranid_cloth_robe_pl|Поношенная роба
itm_sarranid_cloth_robe_b|Поношенная роба
itm_sarranid_cloth_robe_b_pl|Поношенная роба
itm_skirmisher_armor|Доспех стрелка
itm_skirmisher_armor_pl|Доспех стрелка
itm_archers_vest|Стёганый жилет лучника
itm_archers_vest_pl|Стёганый жилет лучника
itm_sarranid_leather_armor|Сарранидский кожаный доспех
itm_sarranid_leather_armor_pl|Сарранидский кожаный доспех
itm_sarranid_cavalry_robe|Кавалерийская роба
itm_sarranid_cavalry_robe_pl|Кавалерийская роба
itm_arabian_armor_b|Сарранидский доспех стражника
itm_arabian_armor_b_pl|Сарранидский доспех стражника
itm_sarranid_mail_shirt|Сарранидская кольчуга
itm_sarranid_mail_shirt_pl|Сарранидская кольчуга
itm_mamluke_mail|Мамлюкская кольчуга
itm_mamluke_mail_pl|Мамлюкская кольчуга
itm_burlap_tunic|Мешковинная туника
itm_burlap_tunic_pl|Мешковинная туника
itm_heraldic_mail_with_surcoat|Геральдическая кольчуга с сюрко
itm_heraldic_mail_with_surcoat_pl|Геральдическая кольчуга с сюрко
itm_heraldic_mail_with_tunic|Геральдическая кольчуга
itm_heraldic_mail_with_tunic_pl|Геральдическая кольчуга
itm_heraldic_mail_with_tunic_b|Геральдическая кольчуга
itm_heraldic_mail_with_tunic_b_pl|Геральдическая кольчуга
itm_heraldic_mail_with_tabard|Геральдическая кольчуга с табардом
itm_heraldic_mail_with_tabard_pl|Геральдическая кольчуга с табардом
itm_turret_hat_ruby|Турэ
itm_turret_hat_ruby_pl|Турэ
itm_turret_hat_blue|Турэ
itm_turret_hat_blue_pl|Турэ
itm_turret_hat_green|Барбетт
itm_turret_hat_green_pl|Барбетт
itm_head_wrappings|Головная обмотка
itm_head_wrappings_pl|Головная обмотка
itm_court_hat|Турэ
itm_court_hat_pl|Турэ
itm_wimple_a|Вимпль
itm_wimple_a_pl|Вимпль
itm_wimple_with_veil|Вимпль с вуалью
itm_wimple_with_veil_pl|Вимпль с вуалью
itm_straw_hat|Соломенная шляпа
itm_straw_hat_pl|Соломенная шляпа
itm_common_hood|Капюшон
itm_common_hood_pl|Капюшон
itm_hood_b|Капюшон
itm_hood_b_pl|Капюшон
itm_hood_c|Капюшон
itm_hood_c_pl|Капюшон
itm_hood_d|Капюшон
itm_hood_d_pl|Капюшон
itm_headcloth|Головной платок
itm_headcloth_pl|Головной платок
itm_woolen_hood|Шерстяной капюшон
itm_woolen_hood_pl|Шерстяной капюшон
itm_arming_cap|Подшлемник
itm_arming_cap_pl|Подшлемник
itm_fur_hat|Меховая шапка
itm_fur_hat_pl|Меховая шапка
itm_nomad_cap|Кочевническая шапка
itm_nomad_cap_pl|Кочевническая шапка
itm_nomad_cap_b|Кочевническая шапка
itm_nomad_cap_b_pl|Кочевническая шапка
itm_steppe_cap|Степная шапка
itm_steppe_cap_pl|Степная шапка
itm_padded_coif|Стёганый койф
itm_padded_coif_pl|Стёганый койф
itm_woolen_cap|Шерстяная шапка
itm_woolen_cap_pl|Шерстяная шапка
itm_felt_hat|Фетровая шляпа
itm_felt_hat_pl|Фетровая шляпа
itm_felt_hat_b|Фетровая шляпа
itm_felt_hat_b_pl|Фетровая шляпа
itm_leather_cap|Кожаная шапка
itm_leather_cap_pl|Кожаная шапка
itm_female_hood|Женский капюшон
itm_female_hood_pl|Женский капюшон
itm_leather_steppe_cap_a|Степная шапка
itm_leather_steppe_cap_a_pl|Степная шапка
itm_leather_steppe_cap_b|Степная шапка
itm_leather_steppe_cap_b_pl|Степная шапка
itm_leather_steppe_cap_c|Степная шапка
itm_leather_steppe_cap_c_pl|Степная шапка
itm_leather_warrior_cap|Кожаная боевая шапка
itm_leather_warrior_cap_pl|Кожаная боевая шапка
itm_skullcap|Ермолка
itm_skullcap_pl|Ермолка
itm_mail_coif|Кольчужный койф
itm_mail_coif_pl|Кольчужный койф
itm_footman_helmet|Шлем пехотинца
itm_footman_helmet_pl|Шлем пехотинца
itm_nasal_helmet|Назальный шлем
itm_nasal_helmet_pl|Назальный шлем
itm_norman_helmet|Норманнский шлем
itm_norman_helmet_pl|Норманнский шлем
itm_segmented_helmet|Сегментированный шлем
itm_segmented_helmet_pl|Сегментированный шлем
itm_helmet_with_neckguard|Шлем с защитой затылка
itm_helmet_with_neckguard_pl|Шлем с защитой затылка
itm_flat_topped_helmet|Шлем с плоским верхом
itm_flat_topped_helmet_pl|Шлем с плоским верхом
itm_kettle_hat|Шапель
itm_kettle_hat_pl|Шапель
itm_spiked_helmet|Шипастый шлем
itm_spiked_helmet_pl|Шипастый шлем
itm_nordic_helmet|Нордский шлем
itm_nordic_helmet_pl|Нордский шлем
itm_khergit_lady_hat|Хергитская дамская шляпа
itm_khergit_lady_hat_pl|Хергитская дамская шляпа
itm_khergit_lady_hat_b|Хергитская дамская кожаная шляпа
itm_khergit_lady_hat_b_pl|Хергитская дамская кожаная шляпа
itm_sarranid_felt_hat|Сарранидская фетровая шляпа
itm_sarranid_felt_hat_pl|Сарранидская фетровая шляпа
itm_turban|Тюрбан
itm_turban_pl|Тюрбан
itm_desert_turban|Пустынный тюрбан
itm_desert_turban_pl|Пустынный тюрбан
itm_sarranid_warrior_cap|Сарранидская боевая шапка
itm_sarranid_warrior_cap_pl|Сарранидская боевая шапка
itm_sarranid_horseman_helmet|Шлем всадника
itm_sarranid_horseman_helmet_pl|Шлем всадника
itm_sarranid_helmet1|Сарранидский шлем с куфией
itm_sarranid_helmet1_pl|Сарранидский шлем с куфией
itm_sarranid_mail_coif|Сарранидский кольчужный койф
