lockitver|DO NOT DELETE THIS LINE! 2896
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Сейчас я буду атаковать вас различными типами ударов, и я буду ждать с атакой, пока вы не установите правильный блок. Постарайтесь как можно быстрее блокировать правильно. ^^(Это упражнение очень легко выполнить с настройкой 'автоматическое направление блока' - это настройка по умолчанию. Если вы измените управление направлением в меню опций на 'движение мыши' или 'клавиатура', вам придётся выбирать направление блока вручную. Это гораздо сложнее, но делает игру намного интереснее. Это упражнение может быть очень полезным для ручного блокирования.)
dlga_fighter_talk_train_parry_3:close_window|Итак, начнём. Я готов.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Я бы предпочёл сначала заняться чем-то другим.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Спарринг - отличная подготовка к настоящему бою. Мы сражаемся безопасным оружием, пока кто-то не упадёт. Конечно, можно получить пару синяков, но это всё же лучше, чем быть изрубленным на куски в настоящем бою.
dlga_fighter_talk_train_combat_2:close_window|Итак, начнём. Я готов.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Я бы предпочёл сначала заняться чем-то другим.
dlga_start:fighter_parry_try_again|Хорошо. Вы успешно парировали мои атаки. Можете повторить это упражнение и попытаться становиться быстрее с каждым разом, пока не будете уверены в своих защитных навыках. Ещё раунд?
dlga_start:fighter_parry_try_again.1|Ну, это было не совсем блестяще, не так ли? (Помните, удерживайте правую кнопку мыши, чтобы блок был эффективным.) Ещё раунд?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Да, ещё один.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Нет, мне пока хватит.
dlga_start:fighter_parry_warn|Эй! Мы здесь тренируем блокирование, приятель! Вы должны блокировать мои атаки, а не атаковать меня.
dlga_fighter_parry_warn:fighter_talk_train_parry|Извините. Давайте попробуем ещё раз.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Извините. Мне нужно покинуть это упражнение.
dlga_fighter_talk_leave_parry:close_window|Что ж. Как пожелаете.
dlga_start:fighter_combat_try_again|Ну, это было не совсем блестяще, не так ли? Не беспокойтесь, просто постарайтесь не повторять те же ошибки. Ещё раунд?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Да, ещё один.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Нет, мне пока хватит.
dlga_fighter_talk_leave_combat:close_window|Хорошо. Поговорите со мной снова, если передумаете.
dlga_start:fighter_combat_try_again.1|Эй, это был неплохой спарринг. Вы победили меня, но в следующий раз я буду осторожнее. Хотите ещё раунд?
dlga_start:fighter_talk.2|Очень хорошо. Теперь вы научились атаковать с любого направления. Если хотите, можем попробовать ещё раз или перейти к другому упражнению.
dlga_start:archer_challenge_2|Неплохо, совсем неплохо! Похоже, вы поняли основы стрельбы из лука. Теперь попробуйте то же самое с арбалетом. Возьмите арбалет и болты вон там и стреляйте по этим трём мишеням. Арбалет гораздо легче в стрельбе по сравнению с луком, но вам нужно перезаряжать его после каждого выстрела.
dlga_start:archer_challenge_2.1|Хорошо. С арбалетом у вас тоже не было проблем. Теперь вы научитесь обращаться с метательным оружием. Возьмите метательные копья вон там и попробуйте поразить эти три мишени.
dlga_start:ranged_end|Что ж, теперь вы изучили базовые техники для всех трёх типов дальнобойного оружия. Остальное придёт с практикой. Тренируйтесь каждый день, и скоро вы не будете уступать лучшим бойцам Кальрадии.
dlga_ranged_end:close_window|Теперь вы можете поговорить с бойцами ближнего боя или тренером верховой езды, если ещё не делали этого. Они тоже могут научить вас важным навыкам.
dlga_start:archer_talk|Добрый день. Я провожу свои дни, обучая всех желающих обращению с дальнобойным оружием. Дайте мне знать, если вам нужен учитель, и я научу вас, как сражаться луком, арбалетом и метательным копьём.
dlga_archer_talk:archer_challenge|Да, покажите мне, как обращаться с дальнобойным оружием.
dlga_archer_talk:close_window|Нет, не сейчас.
dlga_archer_challenge:archer_challenge_2|Хорошо. Ваш первый урок будет по стрельбе из лука. Лук - оружие, сложное в освоении. Но когда вы достигнете определённого мастерства, сможете стрелять быстро и с большой силой. Возьмите лук и стрелы вон там и стреляйте по этим мишеням.
dlga_archer_challenge_2:close_window|Отлично. Я готов.
dlga_archer_challenge_2:close_window.1|Не прямо сейчас. Мне нужно сначала кое-что сделать.
dlga_start:horseman_melee_challenge_2|Надеюсь, вам понравилось. Теперь переходим к чему-то посложнее. Хватайте копьё вон там, проскачите по маршруту и поразите каждую мишень хотя бы один раз.
dlga_start:horseman_melee_challenge_2.1|Отлично! Вы поразили все мишени верхом. Это непросто для новичка. Ваша следующая задача - поразить мишени на дороге луком и стрелами. Вы должны попасть стрелой в каждую мишень, чтобы успешно завершить упражнение.
dlga_start:horsemanship_end|Очень хорошо. Вы поразили все мишени верхом. Продолжайте ездить верхом и усердно тренироваться, и скоро вы станете экспертом в конном бою.
dlga_horsemanship_end:close_window|Теперь вы можете поговорить с бойцами ближнего боя или тренером стрельбы, если ещё не делали этого. Вы должны учиться как можно больше, чтобы быть готовым, когда понадобится защищаться.
dlga_start:horseman_talk|Добрый день! Я пришёл попрактиковаться в верховой езде, но мои старые кости болят так сильно, что я возьму сегодня выходной. Если вы хотите попрактиковаться в верховой езде, можете взять мою лошадь. Прогулка пойдёт ей на пользу.
dlga_horseman_talk:horseman_challenge|Да, я хочу попрактиковаться в езде верхом.
dlga_horseman_talk:close_window|Э... может быть позже.
dlga_horseman_challenge:horseman_melee_challenge_2|Хорошо. Сейчас я дам вам несколько упражнений, которые научат вас верховой езде и использованию оружия верхом. Ваша первая задача проста: просто проедьте на лошади по маршруту, так медленно или быстро, как захотите. Возвращайтесь, когда почувствуете себя комфортно в седле, и тогда я дам вам более сложные упражнения.
dlga_horseman_melee_challenge_2:close_window|Отлично. Я готов.
dlga_horseman_melee_challenge_2:close_window.1|Не прямо сейчас. Мне нужно сначала кое-что сделать.
dlga_tutorial_troop_default:close_window|Эй, я здесь пытаюсь тренироваться. Поговорите с тренером лучников, если хотите узнать что-то о дальнобойном оружии.
dlga_start:lord_prison_break_confirm_3|Планы изменились?
dlga_start:lord_prison_break|Что происходит?
dlga_start:drunk_response|На что вы так смотрите?
dlga_player_duel_response:close_window|Какая потеря...
dlga_player_duel_response:close_window.1|Лучше он, чем я.
dlga_drunk_response:drunk_fight_start|Я не уверен... какое-то животное.
dlga_drunk_response:drunk_fight_start.1|Простите меня – прошу, примите мои извинения.
dlga_drunk_fight_start:close_window|Сейчас мы сотрём улыбку с вашего лица!
dlga_drunk_response:drunk_player_high_renown|Вы хоть представляете, кто перед вами стоит?
dlga_drunk_player_high_renown:drunk_player_high_renown|Эээ... На самом деле... Да, да, я знаю, кто вы, {господин/госпожа}. Прошу простить меня, ваше высочество – я выпил слишком много мёда. Я сейчас же удалюсь...
dlga_drunk_player_high_renown:close_window|Не удивительно. Так что убирайтесь отсюда!
dlga_start:fistfight_response|Вы выглядите как человек, способный хорошо держать удар и отвечать тем же. Позвольте предложить вам сделку.
dlga_fistfight_response:fistfight_response_2|О чём речь?
dlga_fistfight_response_2:fistfight_response_2a|Отлично – я рад вашему интересу. Вот мой план... Он немного сложен, так что слушайте внимательно.
dlga_fistfight_response_2a:fistfight_response_3|Вы и тот другой парень устроите здесь драку. Без оружия, без доспехов – я буду принимать ставки на заднем плане и делить выигрыш с победителем. Если мы понесём убытки, я покрою их. Так что вы ничего не теряете... кроме немного крови, конечно.
dlga_fistfight_response_3:fistfight_response_4|Мы, конечно, не можем организовать это как один из тех красивых боёв на арене, где все делают ставки перед боем. Люди скорее будут привлечены шумом и поставят динар или два на того, кому они верят в победу. Я дам им равные шансы – всё остальное слишком сложно для людей, которые уже выпили третью кружку пива.
dlga_fistfight_response_4:fistfight_response_4a|Итак, важно затянуть бой как можно дольше, если будет казаться, что вы проигрываете... люди будут ставить против вас! Затем переверните бой и выиграйте его, прежде чем ставки изменятся. Лучше всего, если вы позволите сбить себя с ног, а потом вскочите и уложите другого парня. Но в конечном итоге вы должны выиграть бой, чтобы мы с вами заработали деньги.
dlga_fistfight_response_4a:fistfight_response_5|Если вы слишком затяните бой, люди раскусят нас. Так что один из вас должен как следует получить. Мне всё равно, чья кровь прольётся. Но кровь должна пролиться!
dlga_fistfight_response_5:fistfight_response_5a|О, ещё кое-что: мой приятель, ваш противник, он не очень силён в сложных вещах. Он будет атаковать вас как бык. За художественные аспекты боя отвечаете вы.
dlga_fistfight_response_5a:fistfight_response_confirm|Итак, что скажете?
dlga_fistfight_response_confirm:close_window|[Да -- ещё не реализовано]
dlga_fistfight_response_confirm:close_window.1|У меня есть дела поважнее.
dlga_start:ramun_introduce_1|Добрый день, {молодой человек/девушка}.
dlga_ramun_introduce_1:ramun_introduce_2|Простите - вы выглядите как торговец, но, похоже, у вас нет товаров.
dlga_ramun_introduce_1:close_window|Всё в порядке.
dlga_ramun_introduce_2:ramun_introduce_3|Торговец? О, это я точно. Однако мой товар отличается от товара большинства других торговцев: его нужно кормить и поить дважды в день, и если я отвернусь, он сбежит.
dlga_ramun_introduce_3:ramun_introduce_4|Скот?
dlga_ramun_introduce_4:ramun_introduce_5|Близко. Я люблю называть себя человеком, который приводит в движение все корабли на этом море, потому что корабли приводятся в движение вёслами, а вёслами должны управлять люди. Иначе они бесполезны. И вот тут-то я и вступаю в игру.
dlga_ramun_introduce_5:ramun_introduce_6|Галерные рабы.
dlga_ramun_introduce_6:ramun_introduce_7|Теперь вы поняли! Торговый порт вроде этого не смог бы выжить без них. Поскольку корабли теряют нескольких матросов в каждом рейсе, спрос постоянно высок. Капитаны приходят ко мне - и хорошо платят.
dlga_ramun_introduce_7:ramun_introduce_8|Откуда берутся рабы?
dlga_ramun_introduce_8:ramun_introduce_9|Чаще всего я торгую осуждёнными преступниками, которых покупаю у властей. У меня также есть военнопленные из разных стран, потому что я предлагаю хорошие цены, и их приводят ко мне. Иногда я также покупаю у пиратов и других... 'личностей'. В этой работе нельзя беспокоиться о том, откуда приходит товар. У вас случайно нет нескольких пленников, от которых вы хотите избавиться?
dlga_ramun_introduce_9:ramun_introduce_10|Я?
dlga_ramun_introduce_10:ramun_introduce_11|Почему бы и нет? Когда вы покинете этот город, вам рано или поздно придётся скрестить клинки с кем-нибудь - и, даст Бог, одержать верх. Что плохого в том, чтобы немного подзаработать на этом? Я плачу вам двадцать динаров за голову за каждого живого пленника. Меня не особо интересует, кто они и откуда.
dlga_ramun_introduce_11:ramun_introduce_12|Хмм. Я подумаю об этом.
dlga_ramun_introduce_12:close_window|Да, сделайте это! В этом бизнесе много денег, это точно. Более чем достаточно для нас обоих.
dlga_start:ramun_talk|Здравствуйте, {playername}.
dlga_ramun_pre_talk:ramun_talk|Что-то ещё?
dlga_ramun_talk:ramun_sell_prisoners|У меня есть несколько пленников для вас, Рамун. Хотите взглянуть на них?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Дайте-ка посмотреть...
dlga_ramun_sell_prisoners_2:close_window|Было приятно иметь с вами дело.
dlga_ramun_talk:ramun_ask_about_capturing|Как мне взять кого-то в плен?
dlga_ramun_talk:ramun_ask_about_capturing.1|Можете ли вы ещё раз рассказать мне о взятии пленников?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Вы ещё зелёный новичок, не так ли? Лучше объясню попроще: во-первых, вы должны вырубить будущего пленника тупым оружием, например булавой или дубиной. С мечами это превращается в настоящую бойню. Проще говоря: тупое оружие ведёт к дремоте, острое оружие - к кровавой бане. Надеюсь, у вас с собой есть тупое оружие...?
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Конечно.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|К сожалению, сейчас нет.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Хорошо. Теперь вам нужно только вырубить негодяя своим оружием и заковать его в кандалы после окончания боя. С дворянами и прочими дело обстоит иначе, так как они обычно носят лучшую броню: на них можно нападать любым оружием, но обычная сволочь будет истекать кровью как свинья, если вы попробуете на них острое оружие. Я не предъявляю особых требований к доставленному товару, но они должны ещё дышать, когда я их покупаю.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Нет? Ха, это ваш счастливый день: у меня есть старая дубина, которую я собирался выбросить. Она немного изношена, но её достаточно, чтобы вырубить кого-то. Вот, для вас.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Спасибо, Рамун. Может, мне стоит попробовать.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Итак, вы ещё зелёный новичок, не так ли? Лучше объясню попроще: во-первых, вы должны вырубить будущего пленника тупым оружием, например булавой или дубиной. С мечами это превращается в настоящую бойню. С дворянами и прочими дело обстоит иначе, так как они обычно носят лучшую броню: на них можно нападать любым оружием, но обычная сволочь будет истекать кровью как свинья, если вы попробуете на них острое оружие.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Хорошо, думаю, я понял. Что-то ещё?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Ну, всё не так просто: поскольку тупое оружие не имеет такого эффекта, как острое, вы не победите противников так быстро. И поверьте мне - отребье, что таится там снаружи, убьёт вас при первой же возможности, если вы достанете дубину вместо меча. Кроме того, пленники замедляют ваш отряд, поэтому некоторые освобождают своих пленников после боя! Это же безумие! Как можно просто отпустить всё это серебро?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Это всё?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Только ещё одно: управление пленниками - непростое дело, и это можно назвать отдельным навыком. Если вы хотите брать много пленников, вам следует изучить этот навык со всем, что с ним связано. Иначе вы не сможете удержать ни одного пленника.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Спасибо, я это запомню.
dlga_ramun_talk:ramun_leave|Мне лучше отправляться.
dlga_ramun_leave:close_window|Не забывайте приводить ко мне всех пленников, которых захватите. Я заплачу вам хорошую награду за каждого из них!
dlga_start:close_window.3|Я смиренно прошу, чтобы ваше высочество держало свои руки там, где я могу их видеть.
dlga_start:manhunter_talk_b|Эй, вы! Видели здесь где-нибудь бандитов?
dlga_manhunter_talk_b:manhunter_talk_b1|Да, они прошли здесь час назад.
dlga_manhunter_talk_b1:close_window|Я так и знал! Идём, ребята, мы поймаем этих негодяев! Спасибо, друг.
dlga_manhunter_talk_b:manhunter_talk_b2|Нет, в последнее время я не видел никаких бандитов.
dlga_manhunter_talk_b2:close_window|Возмутительно. В этой стране они ползают как крысы в каждую дыру, но мы рано или поздно их выкурим.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|Я вас не боюсь. Встаньте и сражайтесь, если осмелитесь!
dlga_looters_2:close_window.1|Вы познаете мой клинок, жалкая сволочь.
dlga_start:village_farmer_talk|{Господин/Госпожа}, мы бедные крестьяне из деревни {s11}. {reg1?Мы везём наши товары на рынок в {s12}.:Мы возвращаемся с рынка в {s12} в нашу деревню.}
dlga_village_farmer_talk:farmer_bandit_information|Я ищу группу бандитов со следующим описанием... Вы их видели?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|Отдайте мне ваши пожитки, крестьянское отребье. Тогда мы посмотрим, насколько вы на самом деле бедны...
dlga_village_farmer_talk:close_window.1|Что ж, счастливого пути.
dlga_start:minister_issues|Я к вашим услугам, {господин/госпожа}
dlga_start:close_window.4|Мне было честью служить вам, {господин/госпожа}
dlga_start:member_castellan_talk|Да, {playername}? Чем могу служить?
dlga_member_castellan_pretalk:member_castellan_talk|Всё в порядке.
dlga_member_castellan_talk:member_review_castle_garrison|Я хочу проверить гарнизон замка.
dlga_member_review_castle_garrison:member_castellan_pretalk|Конечно. Вот наши списки солдат, пожалуйста, дайте мне знать о ваших пожеланиях по изменениям...
dlga_member_castellan_talk:member_review_castellan_equipment|Дайте мне посмотреть на ваше снаряжение.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Хорошо, пожалуйста, смотрите...
dlga_member_castellan_talk:member_castellan_join|Я требую, чтобы вы покинули замок и присоединились к моему отряду.
dlga_member_castellan_join:close_window|Я привязался к этому месту... Но если вы желаете, {playername}, я последую за вами.
dlga_member_castellan_join:member_castellan_pretalk|А где мы будем ночевать? У вас уже целая армия в свите, {playername}, нет места для всех нас.
dlga_member_castellan_talk:close_window|[Уйти]
dlga_start:member_wilderness_talk|Мне снова присоединиться к вам?
dlga_start:member_inn_talk|Мне снова присоединиться к вам?
dlga_member_chat:kidnapped_girl_chat_1|Мы уже дома?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Ещё нет.
dlga_kidnapped_girl_chat_2:close_window|Я едва могу дождаться. Я так скучала по своей семье - я бы всё отдала, чтобы увидеть их снова.
dlga_member_chat:member_lady_1|{playername}, когда, по вашей оценке, мы достигнем места назначения?
dlga_member_lady_1:member_lady_2a|У нас ещё долгий путь впереди.
dlga_member_lady_1:member_lady_2b|Очень скоро, мы почти там.
dlga_member_lady_2a:close_window|Ах, тогда я ещё немного насладжусь путешествием. Я не жалуюсь, потому что такая прогулка на свежем воздухе намного приятнее, чем сидеть весь день в замке. Я вам завидую, знаете ли. Вы можете наслаждаться этой жизнью всё время.
dlga_member_lady_2b:close_window|Это хорошие новости. Не то чтобы мне не нравилась ваша компания, но я скучаю по своим ежедневным удобствам. Тем не менее, мне грустно, что я должна вас так скоро покинуть. Вы должны пообещать навестить меня, когда сможете.
dlga_member_chat:supported_pretender_talk|Приветствую вас, {playername}, мой первый и важнейший вассал. Я жду вашего совета.
dlga_supported_pretender_pretalk:supported_pretender_talk|Что-то ещё?
dlga_supported_pretender_talk:pretender_progress|Как вы оцениваете прогресс на данный момент?
dlga_pretender_progress:pretender_progress_2|{reg11?У нас {reg11} лордов на нашей стороне:Пока ни один лорд не встал на нашу сторону}, тогда как {reg21?{s9} всё ещё поддерживают {reg21} лордов:{s9} больше нет лояльных лордов}. {reg19?Мы контролируем {reg13?{reg13} городов:} {reg14?{reg14} замков:} {reg15?и {reg15} деревень:}:Мы не контролируем никаких поселений}, в то время как {reg29?они имеют {reg23?{reg23} городов:} {reg24?{reg24} замков:} {reg25?и {reg25} деревень:}:у них больше нет поселений}. Итого: {s30}.
dlga_pretender_progress_2:supported_pretender_pretalk|Тогда мы должны продолжать сражаться и собирать наших союзников!
dlga_pretender_progress_2:pretender_quit_rebel_confirm|Это восстание кажется обречённым на провал, мы должны сдаться.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, вы не можете бросить меня сейчас. Вы серьёзно?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|Да, я больше не могу вас поддерживать.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|Шучу. Конечно, я буду сражаться за вас до победы.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Вы действительно уверены? Я никогда не прощу вашего предательства нашего дела.
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|Я уверен.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Дайте мне немного подумать об этом.
dlga_pretender_quit_rebel:close_window|Так тому и быть. Значит, моё дело провалилось. Теперь для меня остаётся только один выход: я покину Кальрадию и никогда не вернусь. После моего ухода вы можете попытаться заключить мир с {s4}.
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?Моя госпожа:Мой господин}, позволите мне проверить ваше снаряжение?
dlga_supported_pretender_equip:supported_pretender_pretalk|Конечно, пожалуйста, смотрите...
dlga_supported_pretender_talk:pretneder_view_char_requested|Не могли бы вы рассказать мне о ваших навыках?
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Хорошо, пожалуйста.
dlga_supported_pretender_talk:close_window|{reg65?Моя госпожа:Господин}, мы должны идти.
dlga_do_member_trade:member_talk|Что-то ещё?
dlga_member_pretalk:member_talk|Что-то ещё?
dlga_member_chat:member_talk|Да, {s5}?
dlga_member_talk:member_direct_campaign|Как маршал, я хочу, чтобы вы передали сообщение вассалам королевства
dlga_member_talk:member_trade|Дайте мне посмотреть на ваше снаряжение.
dlga_member_trade:do_member_trade|Конечно, пожалуйста, смотрите...
dlga_member_talk:view_member_char_requested|Что вы можете рассказать мне о ваших навыках?
dlga_view_member_char_requested:do_member_view_char|Что ж, что касается моих навыков...
dlga_member_talk:member_separate|Нам нужно временно разойтись.
dlga_member_separate:member_separate_confirm|Действительно? Во всяком случае, я не буду здесь ждать, а буду искать другого господина в городах. Вы действительно этого хотите?
dlga_member_separate:companion_quitting|Что ж, есть кое-что, что я должен вам сказать...
dlga_member_separate_confirm:member_separate_yes|Это так. Мы должны расстаться.
dlga_member_separate_confirm:do_member_trade|Нет, я бы предпочёл видеть вас рядом с собой.
dlga_member_separate_yes:close_window|Хорошо. Тогда я отправлюсь. Найдите меня, если вам понадобятся мои услуги.
dlga_member_talk:member_question|Я хочу вас кое о чём спросить.
dlga_member_talk:close_window|Забудьте.
dlga_member_question:member_question_2|Хорошо. О чём вы хотели меня спросить?
dlga_member_question_2:member_morale|Что вы думаете о сплочённости нашего отряда?
dlga_member_question_2:member_background_recap|Расскажите мне вашу историю ещё раз.
dlga_member_question_2:member_kingsupport_1|Полагаю, вы знаете, что я стремлюсь стать {королём/королевой} этой земли?
dlga_member_question_2:member_intelgathering_1|У вас есть какие-либо связи, которые могли бы нам пригодиться?
dlga_member_question_2:member_fief_grant_1|Не хотели бы вы получить лен?
dlga_member_morale:do_member_trade|{s21}
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|И вскоре после этого я присоединился к вам.
dlga_do_member_view_char:member_talk|Что-то ещё?
dlga_member_kingsupport_1:do_member_trade|Э... Да. Я слышал об этом.
dlga_member_kingsupport_1:member_kingsupport_1a|{s21}
dlga_member_kingsupport_1a:member_kingsupport_2|Так вы будете поддерживать моё дело?
dlga_member_kingsupport_1a:do_member_trade|Хорошо. Я запомню это.
dlga_member_kingsupport_2:member_kingsupport_2a|{s21}
dlga_member_kingsupport_2a:member_kingsupport_3|{s21}
dlga_member_kingsupport_2a:do_member_trade|{s21}
dlga_member_kingsupport_3:member_kingsupport_3a|{s21}
dlga_member_kingsupport_3a:member_kingsupport_4|Очень хорошо. Сделайте это.
dlga_member_kingsupport_3a:do_member_trade|Хотя... пожалуйста, останьтесь со мной ещё немного.
dlga_member_kingsupport_4:close_window|Прощайте, {s21}, до скорой встречи.
dlga_member_intelgathering_1:member_intelgathering_3|{s21}
dlga_member_intelgathering_3:member_intelgathering_3|Конечно... об этом должно знать как можно меньше людей. Если вы хотите получить информацию или отозвать меня, не посылайте гонца. Приходите за мной сами, даже если для этого придётся прокрасться через ворота.
dlga_member_intelgathering_3:member_intelgathering_4|Отличная идея. Сделайте это.
dlga_member_intelgathering_3:do_member_trade|Хмм... пока подождите.
dlga_member_intelgathering_4:close_window|Хорошо. Я смогу доложить вам через пять дней. Прощайте, {s21}, до скорой встречи.
dlga_merchant_quest_4_start:close_window|Время пришло, люди! На них с криком!
dlga_start:relative_saved_1a|Большое спасибо! Большое спасибо, {господин/госпожа}, что спасли меня от этих чудовищ. Мой брат в {s9} отправил вас по моему следу?
dlga_relative_saved_1a:close_window|Да. Я сказал ему, что найду вас. Советую вам как можно скорее вернуться к семье -- и будьте осторожны в дороге.
dlga_start:bandit_leader_1a|Ах! Пощадите меня! Оставьте мне жизнь! Отпустите меня, и я уйду далеко отсюда и выучусь честному ремеслу, и вы никогда больше обо мне не услышите!
dlga_bandit_leader_1a:bandit_leader_1b|Я оставлю вам жизнь – но взамен хочу информацию. Вы или ваши дружки похитили брата одного видного торговца в городе. Скажите мне, где вы его прячете, и дайте слово, что перестанете беспокоить людей в этой местности, и я отпущу вас.
dlga_start:looter_leader_1|Чего вы хотите?
dlga_looter_leader_1:looter_leader_2|Я искал вас. Скажите мне, где вы прячете своих пленников, и я отпущу вас.
dlga_looter_leader_1:close_window|Ничего. Мы оставим вас в покое.
dlga_looter_leader_2:looter_leader_3|Ха! Эти пленники освободятся, только если вы заплатите выкуп. У вас есть серебро?
dlga_looter_leader_3:close_window|Нет, но есть сталь.
dlga_bandit_leader_1b:close_window|Пусть боги воздадут вам, {господин/госпожа}. Мы не тронули парня и волоска. Мы держим его в нашем укрытии возле {s9}. Я точно опишу местность, чтобы вы не промахнулись...
dlga_start_up_quest_1_next:close_window|С вами всё в порядке? Ну... думаю, вы хотя бы живы. Насчёт другого парня я не уверен. Это на одного вора меньше на наших ночных улицах, хотя, видит Бог, не последний... Ну что ж, может, вы мне чем-то поможете. Поговорим внутри. Снаружи никогда не знаешь, кто подслушивает.
dlga_start:merchant_quest_2a|Превосходная работа. Вы наняли достаточно людей, чтобы справиться с бандитами. Итак – путники в {s9} рассказали нам, что небольшая группа разбойников прячется за городом. Боюсь, все они принадлежат к одной банде, той самой, что похитила моего брата. Найдите их и уничтожьте, и пусть они скажут вам, где их лагерь!
dlga_start:merchant_quest_3a|Итак, вы узнали, где они прячут моего брата? Отличная работа. Я люблю льстить себе, что разбираюсь в людях, и вы выглядите способным человеком. Теперь идите и спасите его никчёмную шкуру!
dlga_start:merchant_quest_3b|Что ж... Мой брат в безопасности дома. Не знаю, что с ним делать – может, отправить в университет за пределами Кальрадии. Тогда хотя бы никто не сможет обвинить меня, если он получит по зубам в уличной драке. Но это не ваша проблема. Вот остаток вашей награды – она заслужена.
